Timestamp,Date,Symbol,Open,High,Low,Close,Volume_(BTC)
1.59E+12,2020-05-24 0:00,BTCUSD,9175,9219.75,9129.74,9200.84,23.38191104
1.59E+12,2020-05-23 23:00,BTCUSD,9228.26,9236.03,9151.55,9175,17.29903161
1.59E+12,2020-05-23 22:00,BTCUSD,9235.01,9248.02,9222.32,9228.26,20.83475665
1.59E+12,2020-05-23 21:00,BTCUSD,9238.75,9240.11,9210.62,9235.01,87.92410736
1.59E+12,2020-05-23 20:00,BTCUSD,9186.01,9250,9165.43,9238.75,28.56015789
1.59E+12,2020-05-23 19:00,BTCUSD,9160.45,9199.96,9128.06,9186.01,22.37063817
1.59E+12,2020-05-23 18:00,BTCUSD,9178.64,9207.66,9151.31,9160.45,34.43923219
1.59E+12,2020-05-23 17:00,BTCUSD,9178.41,9200.13,9166,9178.64,19.37738711
1.59E+12,2020-05-23 16:00,BTCUSD,9182.87,9210.61,9140,9178.41,34.9981855
1.59E+12,2020-05-23 15:00,BTCUSD,9201.53,9214.02,9176.35,9182.87,16.3115693
1.59E+12,2020-05-23 14:00,BTCUSD,9159.58,9224.14,9139.94,9201.53,52.7955114
1.59E+12,2020-05-23 13:00,BTCUSD,9126.07,9173.99,9115.31,9159.58,18.58669105
1.59E+12,2020-05-23 12:00,BTCUSD,9182.6,9182.6,9091.94,9126.07,18.14511854
1.59E+12,2020-05-23 11:00,BTCUSD,9137.05,9195.95,9132.73,9182.6,37.43037587
1.59E+12,2020-05-23 10:00,BTCUSD,9130.75,9152.9,9100.17,9137.05,14.40643302
1.59E+12,2020-05-23 9:00,BTCUSD,9190.45,9203.25,9124.16,9130.75,19.1837947
1.59E+12,2020-05-23 8:00,BTCUSD,9253.04,9264.84,9170.5,9190.45,19.58282193
1.59E+12,2020-05-23 7:00,BTCUSD,9241.47,9278.8,9223.73,9253.04,20.80816818
1.59E+12,2020-05-23 6:00,BTCUSD,9267.01,9273.41,9213.8,9241.47,13.08836395
1.59E+12,2020-05-23 5:00,BTCUSD,9259.94,9273.17,9240,9267.01,14.27279982
1.59E+12,2020-05-23 4:00,BTCUSD,9287.48,9310,9245.44,9259.94,23.12961579
1.59E+12,2020-05-23 3:00,BTCUSD,9279.19,9310,9279.19,9287.48,40.73523174
1.59E+12,2020-05-23 2:00,BTCUSD,9240.48,9290,9240.47,9279.19,26.11350574
1.59E+12,2020-05-23 1:00,BTCUSD,9248.84,9276.96,9227.97,9240.48,18.07780776
